title,summary,update_at,external_link,entity,created_at,classification_id,rtype_id,gtype,is_active
informe rendicion de cuentas avances o. ppm-2024 al 1 de septiembre 2024,informe rendicion de cuentas avances o. ppm-2024 al 1 de septiembre 2024,9/10/2024 14:43,https://adn.gob.do/transparencia/download/1674/2024/9282/informe-rendicion-de-cuentas-avances-o-ppm-2024-al-1-de-septiembre-2024.pdf,Alcaldía del distrito Nacional,9/10/2024 14:43,17,13,link,True
ca 01-2024 acta de cabildo abierto,ca 01-2024 acta de cabildo abierto,3/26/2024 18:52,https://adn.gob.do/transparencia/download/1674/2024/8347/ca-01-2024-acta-de-cabildo-abierto.pdf,Alcaldía del distrito Nacional,3/26/2024 18:48,17,13,link,True
14836 caecom srl - 20% avance,14836 caecom srl - 20% avance,9/10/2024 14:38,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9281/14836-caecom-srl-20-avance.pdf,Alcaldía del distrito Nacional,9/10/2024 14:38,17,33,link,True
14823 consorcio vs magon srl -20% avance,14823 consorcio vs magon srl -20% avance,8/30/2024 15:57,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9210/14823-consorcio-vs-magon-srl-20-avance.pdf,Alcaldía del distrito Nacional,8/30/2024 15:57,17,33,link,True
14817 construcciones servicios y disenos civiles dominic japt srl -20% avance,14817 construcciones servicios y disenos civiles dominic japt srl -20% avance,8/30/2024 15:57,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9212/14817-construcciones-servicios-y-disenos-civiles-dominic-japt-srl-20-avance.pdf,Alcaldía del distrito Nacional,8/30/2024 15:57,17,33,link,True
14816 revicon srl -20% avance,14816 revicon srl -20% avance,8/30/2024 15:57,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9215/14816-revicon-srl-20-avance.pdf,Alcaldía del distrito Nacional,8/30/2024 15:57,17,33,link,True
14815 construccion y transporte prefabricados eec srl -20% avance,14815 construccion y transporte prefabricados eec srl -20% avance,8/30/2024 15:57,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9214/14815-construccion-y-transporte-prefabricados-eec-srl-20-avance.pdf,Alcaldía del distrito Nacional,8/30/2024 15:57,17,33,link,True
14813 constructora fixsa srl- 20% avance,14813 constructora fixsa srl- 20% avance,8/30/2024 15:57,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9211/14813-constructora-fixsa-srl-20-avance.pdf,Alcaldía del distrito Nacional,8/30/2024 15:57,17,33,link,True
14812 constructora burgos lopez srl - 20% avance,14812 constructora burgos lopez srl - 20% avance,8/30/2024 15:57,https://adn.gob.do/transparencia/download/1695/rendicion-de-cuentas-presupuesto-participativo-municipalppm/9213/14812-constructora-burgos-lopez-srl-20-avance.pdf,Alcaldía del distrito Nacional,8/30/2024 15:57,17,33,link,True
rendicion de cuentas ppm enero -junio 2024,rendicion de cuentas ppm enero -junio 2024,10/23/2024 15:08,https://adn.gob.do/transparencia/download/1853/rendicion-de-cuentas-ppm-semestral/9673/rendicion-de-cuentas-ppm-enero-junio-2024.pdf,Alcaldía del distrito Nacional,10/23/2024 15:03,17,13,link,True
resolucion no. 49 2022. que aprueba montos tope a ppm 2023,resolucion no. 49 2022. que aprueba montos tope a ppm 2023,2/20/2023 18:25,https://adn.gob.do/transparencia/download/633/2023/3610/resolucion-no-49-2022-que-aprueba-montos-tope-a-ppm-2023-2.pdf,Alcaldía del distrito Nacional,2/20/2023 18:24,17,33,link,True
plan de inversion municipal - pim 2023,plan de inversion municipal - pim 2023,2/21/2023 19:45,https://adn.gob.do/transparencia/download/633/2023/3618/plan-de-inversion-municipal-pim-2023.pdf,Alcaldía del distrito Nacional,2/21/2023 19:45,17,26,link,True
fp-06 2023,fp-06 2023,2/21/2023 19:45,https://adn.gob.do/transparencia/download/633/2023/3616/fp-06-2023.pdf,Alcaldía del distrito Nacional,2/21/2023 19:45,17,13,link,True
ca-01 2023 acta de cabildo abierto,ca-01 2023 acta de cabildo abierto,2/21/2023 19:46,https://adn.gob.do/transparencia/download/633/2023/3617/ca-01-2023-acta-de-cabildo-abierto.pdf,Alcaldía del distrito Nacional,2/21/2023 19:45,17,13,link,True
informe rendicion de cuentas ppm  octubre - diciembre 2023,informe rendicion de cuentas ppm  octubre - diciembre 2023,1/17/2024 20:51,https://adn.gob.do/transparencia/download/880/informes/7734/informe-rendicion-de-cuentas-ppm-octubre-diciembre-2023.pdf,Alcaldía del distrito Nacional,1/17/2024 20:50,17,13,link,True
informe rendicion de cuentas ppm julio - septiembre 2023,informe rendicion de cuentas ppm julio - septiembre 2023,10/3/2023 20:23,https://adn.gob.do/transparencia/download/880/informes/7006/informe-rendicion-de-cuentas-ppm-julio-septiembre-2023.pdf,Alcaldía del distrito Nacional,10/3/2023 20:23,17,13,link,True
informe rendicion de cuentas ppm enero-mayo 2023,informe rendicion de cuentas ppm enero-mayo 2023,6/1/2023 15:50,https://adn.gob.do/transparencia/download/880/informes/4940/informe-rendicion-de-cuentas-ppm-enero-mayo-2023.pdf,Alcaldía del distrito Nacional,6/1/2023 15:48,17,13,link,True
informe rendicion de cuentas ppm abril - junio 2023,informe rendicion de cuentas ppm abril - junio 2023,7/31/2023 19:48,https://adn.gob.do/transparencia/download/880/informes/5280/informe-rendicion-de-cuentas-ppm-abril-junio-2023.pdf,Alcaldía del distrito Nacional,7/31/2023 19:47,17,13,link,True
"monval ingenieria, srl 20% avance","monval ingenieria, srl 20% avance",6/1/2023 15:51,https://adn.gob.do/transparencia/download/879/evidencias-de-pagos/4943/monval-ingenieria-srl-20-avance.pdf,Alcaldía del distrito Nacional,6/1/2023 15:51,17,33,link,True
"j. mendez construcciones, srl 20% avance","j. mendez construcciones, srl 20% avance",6/1/2023 15:51,https://adn.gob.do/transparencia/download/879/evidencias-de-pagos/4942/j-mendez-construcciones-srl-20-avance.pdf,Alcaldía del distrito Nacional,6/1/2023 15:51,17,33,link,True
"grupo biserici, srl 20% avance","grupo biserici, srl 20% avance",6/1/2023 15:51,https://adn.gob.do/transparencia/download/879/evidencias-de-pagos/4941/grupo-biserici-srl-20-avance.pdf,Alcaldía del distrito Nacional,6/1/2023 15:51,17,33,link,True
"dineba disenos interiores y ebanisteria, srl 20% avance","dineba disenos interiores y ebanisteria, srl 20% avance",6/1/2023 15:51,https://adn.gob.do/transparencia/download/879/evidencias-de-pagos/4945/dineba-disenos-interiores-y-ebanisteria-srl-20-avance.pdf,Alcaldía del distrito Nacional,6/1/2023 15:51,17,33,link,True
"constructora phd, srl 20% avance","constructora phd, srl 20% avance",6/1/2023 15:51,https://adn.gob.do/transparencia/download/879/evidencias-de-pagos/4946/constructora-phd-srl-20-avance.pdf,Alcaldía del distrito Nacional,6/1/2023 15:51,17,33,link,True
"conedeca, srl 20% avance","conedeca, srl 20% avance",6/1/2023 15:51,https://adn.gob.do/transparencia/download/879/evidencias-de-pagos/4944/conedeca-srl-20-avance.pdf,Alcaldía del distrito Nacional,6/1/2023 15:51,17,33,link,True
"14639 montval ingenieria, srl - cubicacion final","14639 montval ingenieria, srl - cubicacion final",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7724/14639-montval-ingenieria-srl-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14633 dineba disenos interiores y ebanisteria, srl - cubicacion final","14633 dineba disenos interiores y ebanisteria, srl - cubicacion final",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7722/14633-dineba-disenos-interiores-y-ebanisteria-srl-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14631 grupo bisirici, srl - cubicacion final","14631 grupo bisirici, srl - cubicacion final",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7723/14631-grupo-bisirici-srl-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
14622 conedeca - cubicacion final,14622 conedeca - cubicacion final,1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7720/14622-conedeca-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14608 constructora phd, srl - cubicacion final","14608 constructora phd, srl - cubicacion final",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7721/14608-constructora-phd-srl-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
"14605 construcion y transporte prefabricados, eec, srl - cubicacion final","14605 construcion y transporte prefabricados, eec, srl - cubicacion final",1/17/2024 20:44,https://adn.gob.do/transparencia/download/1575/octubre-diciembre/7718/14605-construcion-y-transporte-prefabricados-eec-srl-cubicacion-final.pdf,Alcaldía del distrito Nacional,1/17/2024 20:44,17,33,link,True
