year,pdf_link,titulo,epigrafe
2011,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2020/02/ACUERDO-00013-11.pdf,ACUERDO Nº 013,
2012,https://www.concejodebarranquilla.gov.co/download/8059/,ACUERDO Nº 001,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/3-02142022091900.pdf,ACUERDO Nº 003,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/4-02142022092002.pdf,ACUERDO Nº 004,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/5-02142022092047.pdf,ACUERDO Nº 005,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/6-02142022092134.pdf,ACUERDO Nº 006,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/7-02142022092240.pdf,ACUERDO Nº 007,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/8.pdf,ACUERDO Nº 008,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/9.pdf,ACUERDO Nº 009,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/10.pdf,ACUERDO Nº 010,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/11.pdf,ACUERDO Nº 011,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/12.pdf,ACUERDO Nº 012,
2012,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/13-02142022093859.pdf,ACUERDO Nº 013,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/1-02142022081453.pdf,ACUERDO Nº 001,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/04/002-2013-04012022090011-1.pdf,ACUERDO Nº 002,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/3-02142022081928.pdf,ACUERDO Nº 003,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/4-02142022082024.pdf,ACUERDO Nº 004,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/5-02142022082127.pdf,ACUERDO Nº 005,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/6-02142022082222.pdf,ACUERDO Nº 006,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/7-02142022082341.pdf,ACUERDO Nº 007,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/8-02142022082422.pdf,ACUERDO Nº 008,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/9-02142022082526.pdf,ACUERDO Nº 009,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/10-02142022082558.pdf,ACUERDO Nº 010,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/11-02142022082648.pdf,ACUERDO Nº 011,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/12-02142022082746.pdf,ACUERDO Nº 012,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/13-02142022082925.pdf,ACUERDO Nº 013,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/14-02142022083013.pdf,ACUERDO Nº 014,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/15-02142022083231.pdf,ACUERDO Nº 015,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/16-02142022083304.pdf,ACUERDO Nº 016,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/17-02142022083332.pdf,ACUERDO Nº 017,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/18-02142022083401.pdf,ACUERDO Nº 018,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/19-02142022083432.pdf,ACUERDO Nº 019,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/20-02142022083508.pdf,ACUERDO Nº 020,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/21-02142022083624.pdf,ACUERDO Nº 021,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/22-02142022083655.pdf,ACUERDO Nº 022,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/23-02142022083737.pdf,ACUERDO Nº 023,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/24-02142022083804.pdf,ACUERDO Nº 024,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/25-02142022083835.pdf,ACUERDO Nº 025,
2013,https://www.concejodebarranquilla.gov.co/wp-content/uploads/2022/02/26-02142022083859.pdf,ACUERDO Nº 026,
